,num_sample,problem,seed
822,6,mf_Park91B,2
823,8,mf_Park91B,2
824,10,mf_Park91B,2
825,12,mf_Park91B,2
826,14,mf_Park91B,2
827,16,mf_Park91B,2
828,18,mf_Park91B,2
829,20,mf_Park91B,2
830,22,mf_Park91B,2
831,24,mf_Park91B,2
832,26,mf_Park91B,2
833,28,mf_Park91B,2
834,30,mf_Park91B,2
835,32,mf_Park91B,2
836,34,mf_Park91B,2
837,36,mf_Park91B,2
838,38,mf_Park91B,2
839,40,mf_Park91B,2
840,2,mf_Park91B,3
841,4,mf_Park91B,3
842,6,mf_Park91B,3
843,8,mf_Park91B,3
844,10,mf_Park91B,3
845,12,mf_Park91B,3
846,14,mf_Park91B,3
847,16,mf_Park91B,3
848,18,mf_Park91B,3
849,20,mf_Park91B,3
850,22,mf_Park91B,3
851,24,mf_Park91B,3
852,26,mf_Park91B,3
853,28,mf_Park91B,3
854,30,mf_Park91B,3
855,32,mf_Park91B,3
856,34,mf_Park91B,3
857,36,mf_Park91B,3
858,38,mf_Park91B,3
859,40,mf_Park91B,3
860,2,mf_Park91B,4
861,4,mf_Park91B,4
862,6,mf_Park91B,4
863,8,mf_Park91B,4
864,10,mf_Park91B,4
865,12,mf_Park91B,4
866,14,mf_Park91B,4
867,16,mf_Park91B,4
868,18,mf_Park91B,4
869,20,mf_Park91B,4
870,22,mf_Park91B,4
871,24,mf_Park91B,4
872,26,mf_Park91B,4
873,28,mf_Park91B,4
874,30,mf_Park91B,4
875,32,mf_Park91B,4
876,34,mf_Park91B,4
877,36,mf_Park91B,4
878,38,mf_Park91B,4
879,40,mf_Park91B,4
880,2,mf_Park91B,5
881,4,mf_Park91B,5
882,6,mf_Park91B,5
883,8,mf_Park91B,5
884,10,mf_Park91B,5
885,12,mf_Park91B,5
886,14,mf_Park91B,5
887,16,mf_Park91B,5
888,18,mf_Park91B,5
889,20,mf_Park91B,5
890,22,mf_Park91B,5
891,24,mf_Park91B,5
892,26,mf_Park91B,5
893,28,mf_Park91B,5
894,30,mf_Park91B,5
895,32,mf_Park91B,5
896,34,mf_Park91B,5
897,36,mf_Park91B,5
898,38,mf_Park91B,5
899,40,mf_Park91B,5
900,2,mf_Sixhump,1
901,4,mf_Sixhump,1
902,6,mf_Sixhump,1
903,8,mf_Sixhump,1
904,10,mf_Sixhump,1
905,12,mf_Sixhump,1
906,14,mf_Sixhump,1
907,16,mf_Sixhump,1
908,18,mf_Sixhump,1
909,20,mf_Sixhump,1
910,22,mf_Sixhump,1
911,24,mf_Sixhump,1
912,26,mf_Sixhump,1
913,28,mf_Sixhump,1
914,30,mf_Sixhump,1
915,32,mf_Sixhump,1
916,34,mf_Sixhump,1
917,36,mf_Sixhump,1
918,38,mf_Sixhump,1
919,40,mf_Sixhump,1
920,2,mf_Sixhump,2
921,4,mf_Sixhump,2
922,6,mf_Sixhump,2
923,8,mf_Sixhump,2
924,10,mf_Sixhump,2
925,12,mf_Sixhump,2
926,14,mf_Sixhump,2
927,16,mf_Sixhump,2
928,18,mf_Sixhump,2
929,20,mf_Sixhump,2
930,22,mf_Sixhump,2
931,24,mf_Sixhump,2
932,26,mf_Sixhump,2
933,28,mf_Sixhump,2
934,30,mf_Sixhump,2
